exercicio,conta,PREVISÃO ATUALIZADA (a),No Bimestre (b)
2021,TOTAL DAS DESPESAS (XII) = (X + XI),,
2021,TOTAL DAS RECEITAS (V) = (III + IV),9362354235.35,2413578337.09
2021,TRANSFERÊNCIAS CORRENTES,4215418131.04,941068163.5
2021,TRANSFERÊNCIAS DE CAPITAL,183571701.54,54827965.55
2021,Taxas,148819373.0,29323434.32
2021,Transferências da União e de suas Entidades,3215614513.15,759561825.36
2021,Transferências de Instituições Privadas,1865852.0,131881.12
2021,Transferências de Outras Instituições Públicas,1179510927.43,234950554.09
2021,Transferências de Pessoas Físicas,69440.0,22868.34
2021,Transferências dos Estados e do Distrito Federal e de suas Entidades,,769582.86
2021,Transferências dos Municípios e de suas Entidades,1929100.0,459417.28
2021,Valores Mobiliários,185424157.84,138412101.47
2022,ALIENAÇÃO DE BENS,248232.0,3166862.7
2022,AMORTIZAÇÃO DA DÍVIDA,,
2022,AMORTIZAÇÃO DA DÍVIDA / REFINANCIAMENTO (XI),,
2022,Alienação de Bens Móveis,248232.0,3166862.7
2022,Amortização da Dívida Interna,,
2022,CONTRIBUIÇÕES,752293802.0,276660085.93
2022,Cessão de Direitos,33563193.88,13426610.42
2022,Contribuições Sociais,752293802.0,276660085.93
2022,DESPESAS (EXCETO INTRA-ORÇAMENTÁRIAS) (VIII),,
2022,DESPESAS (INTRA-ORÇAMENTÁRIAS) (IX),,
2022,DESPESAS CORRENTES,,
2022,DESPESAS DE CAPITAL,,
2022,Demais Despesas Correntes,,
2022,Demais Receitas Correntes,237316664.89,37985297.91
2022,Demais Receitas Patrimoniais,6632.0,20667.7
2022,Demais Receitas de Capital,582370.46,
2022,Dívida Contratual,,
2022,Exploração de Recursos Naturais,,823370.13
2022,Exploração do Patrimônio Imobiliário do Estado,318176.0,1843438.08
2022,"IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA",4627199543.07,776716541.73
2022,INVERSÕES FINANCEIRAS,,
2022,INVESTIMENTOS,,
2022,Impostos,4473392687.8,743334323.07
2022,"Indenizações, Restituições e Ressarcimentos",45764516.05,20032105.19
2022,JUROS E ENCARGOS DA DÍVIDA,,
2022,"Multas Administrativas, Contratuais e Judiciais",44636137.75,10786534.84
2022,OPERAÇÕES DE CRÉDITO,,102310.5
2022,OUTRAS DESPESAS CORRENTES,,
